AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2011
Capital_Expenditures,0.6,0.3,0.5,1.9,0.5,2.9,1.8,0.3
Cash_from_Operations,5.5,6.4,6.2,4.7,5.4,3.9,4.9,7.0
Diluted_EPS,3.311,3.691,2.499,2.638,2.909,1.847,2.789,1.041
Goodwill_Intangibles,1.6,1.6,1.6,1.6,1.6,1.6,1.5,2.2
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,4.4,4.9,3.3,3.5,3.9,2.5,3.7,1.4
Revenue,20.8,20.9,20.1,20.5,19.3,18.5,18.1,21.1
Shares_Diluted,1.3369,1.3369,1.3369,1.3369,1.3369,1.3369,1.3369,1.3369
Total_Assets,527.4,518.4,475.5,418.9,413.2,404.7,402.4,404.2
Total_Liabilities,472.4,459.0,419.1,364.2,359.9,353.0,351.4,362.5
