AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,25.0,106.3,64.4,10.6,8.4
Cash_from_Operations,-162.1,-134.6,-149.3,-91.8,-79.5
Diluted_EPS,-1.587,-0.618,-0.923,-0.509,-0.441
Goodwill_Intangibles,32.2,37.0,40.7,41.5,41.7
LT_Debt,388.8,326.6,593.4,361.7,233.5
Net_Income,-447.8,-100.9,-241.0,-132.8,-115.2
Revenue,254.5,421.4,139.2,23.1,25.4
Shares_Diluted,282.2421,163.2558,261.022,261.022,261.022
Total_Assets,441.0,644.8,515.1,249.8,258.7
Total_Liabilities,546.1,481.7,890.1,402.5,292.9
