AAII_YR_DATA,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014
Capital_Expenditures,1.1,0.3,1.9,6.2,0.0,0.0,0.1,,
Cash_from_Operations,-3.2,-2.5,-3.2,-10.2,-1.4,-1.2,-1.2,-0.8,0.0
Diluted_EPS,-0.073,-0.502,-0.97,-1.074,-0.977,-0.937,-0.518,-0.238,-0.002
Goodwill_Intangibles,1.7,1.9,2.0,27.3,0.0,0.0,0.0,0.0,
LT_Debt,3.0,19.7,17.6,14.5,0.0,0.2,0.3,0.0,0.0
Net_Income,-2.3,-15.9,-30.7,-27.6,-9.6,-4.9,-2.6,-1.5,0.0
Revenue,22.7,19.3,11.9,8.5,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,32.0322,31.6662,31.5975,25.7174,9.8062,5.1947,5.0366,6.3562,11.25
Total_Assets,15.8,11.6,15.3,46.5,2.1,0.1,0.3,0.3,0.0
Total_Liabilities,32.9,26.7,20.7,21.5,2.7,2.0,1.7,0.9,0.0
