AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,09/30/2019,09/30/2018
Capital_Expenditures,2.1,1.9,0.4,1.4,,
Cash_from_Operations,0.7,-11.9,-12.3,6.5,-2.0,-1.5
Diluted_EPS,-7.86,-3.213,-3.806,-3.325,-1.877,-1.389
Goodwill_Intangibles,168.9,235.9,24.2,26.3,,
LT_Debt,205.5,213.2,34.9,23.6,0.0,0.0
Net_Income,-98.5,-34.0,-26.8,-11.0,-2.3,-1.6
Revenue,339.2,267.7,147.4,129.6,0.0,0.0
Shares_Diluted,12.5347,10.5805,7.0433,3.3152,1.202,1.1567
Total_Assets,370.2,448.5,118.5,117.4,79.4,145.9
Total_Liabilities,328.0,331.1,125.9,156.2,5.8,1.1
