AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,150.9,87.9,18.6,20.3,29.8
Cash_from_Operations,-53.9,-45.0,15.6,13.4,-5.5
Diluted_EPS,-0.522,-0.779,-0.269,-0.384,-0.333
Goodwill_Intangibles,1.6,1.9,2.3,2.7,
LT_Debt,72.9,73.1,94.9,51.1,0.0
Net_Income,-158.2,-234.1,-81.0,-115.5,-100.0
Revenue,204.5,152.0,107.5,76.4,174.2
Shares_Diluted,303.2792,300.5305,300.5162,300.5162,300.5162
Total_Assets,985.0,995.3,404.5,415.8,
Total_Liabilities,372.0,308.6,480.0,458.4,
