AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014
Capital_Expenditures,4.7,4.5,10.7,12.0,6.3,3.1,4.2,7.2,7.2
Cash_from_Operations,-8.3,6.5,9.1,-5.5,6.5,3.2,3.4,25.7,25.7
Diluted_EPS,0.605,-2.243,-3.027,0.842,0.836,-0.56,-1.17,0.991,0.324
Goodwill_Intangibles,13.0,17.5,19.0,51.3,5.1,4.6,7.3,15.0,16.3
LT_Debt,39.0,34.9,38.7,40.9,4.8,6.3,8.5,10.2,14.8
Net_Income,8.1,-29.7,-39.8,10.7,9.5,-6.3,-13.1,11.2,3.6
Revenue,242.9,218.6,246.8,302.7,240.7,168.2,166.3,265.8,263.9
Shares_Diluted,13.382,13.247,13.153,12.682,11.395,11.239,11.203,11.277,11.264
Total_Assets,276.5,275.4,294.1,346.9,241.2,210.9,213.9,249.9,267.0
Total_Liabilities,145.7,145.2,154.7,164.7,98.2,88.0,97.4,110.3,115.4
