AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,76.6,270.6,9.8,105.9,203.3,263.3
Cash_from_Operations,164.5,35.4,48.7,43.7,30.2,23.8
Diluted_EPS,,1.958,0.197,0.174,0.069,0.219
Goodwill_Intangibles,240.0,,,,,
LT_Debt,2140.4,197.8,294.4,493.8,501.2,504.3
Net_Income,,131.9,13.3,11.8,4.0,6.8
Revenue,397.5,75.9,106.6,103.7,87.2,74.0
Shares_Diluted,67.3667,67.3935,67.6934,58.1048,31.2044,
Total_Assets,4151.9,985.7,1133.0,1158.9,1089.1,920.1
Total_Liabilities,2411.9,478.8,642.7,639.5,543.8,579.6
