AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,10.8,4.4,4.3,3.7,4.1,1.2,5.8,3.0
Cash_from_Operations,78.9,58.1,51.0,40.7,24.8,15.1,11.0,20.2
Diluted_EPS,5.704,5.519,4.122,3.329,2.373,2.571,2.251,3.803
Goodwill_Intangibles,185.6,166.0,124.3,128.4,87.9,,,
LT_Debt,24.9,42.6,42.1,41.5,36.6,24.4,12.3,44.5
Net_Income,60.1,54.6,41.0,33.2,17.8,11.2,9.7,15.2
Revenue,149.2,138.6,125.5,109.3,75.5,48.6,48.9,43.2
Shares_Diluted,10.5413,9.9003,9.9564,9.9582,7.514,4.3622,4.3113,3.9881
Total_Assets,4551.8,3577.3,3096.5,2932.4,2300.9,1214.4,1215.3,1198.8
Total_Liabilities,4012.6,3061.0,2709.9,2568.3,2024.9,1104.9,1104.3,1093.9
