AAII_YR_DATA,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,6.3,2.1,3.9,3.5,3.3,2.7,4.3,5.1
Cash_from_Operations,15.0,-10.5,-0.2,1.8,15.3,-1.1,9.1,-4.3
Diluted_EPS,0.627,0.448,0.999,0.008,0.469,-1.01,-1.534,-0.981
Goodwill_Intangibles,,,,,0.2,0.2,8.3,4.7
LT_Debt,28.1,35.6,23.0,19.4,16.7,28.3,28.5,34.0
Net_Income,6.7,4.7,10.3,0.1,4.8,-10.2,-15.1,-9.5
Revenue,182.7,157.0,116.9,96.5,127.0,127.0,120.8,140.9
Shares_Diluted,10.7274,10.5181,10.3202,10.1819,10.2112,10.0893,9.827,9.7115
Total_Assets,123.0,110.8,90.4,52.4,50.4,68.3,73.0,88.9
Total_Liabilities,83.8,79.6,65.1,38.0,36.5,59.6,55.6,56.9
