AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,6.2,5.5,8.0,2.3,0.5,
Cash_from_Operations,107.8,-88.1,-92.2,76.4,22.3,
Diluted_EPS,0.587,-1.597,-4.74,-1.027,-1.023,
Goodwill_Intangibles,1.8,1.4,1.0,1.1,,
LT_Debt,13.4,7.7,4.6,2.0,0.0,0.0
Net_Income,40.4,-100.5,-227.5,-34.0,-33.9,
Revenue,186.1,37.4,33.7,19.9,4.1,
Shares_Diluted,68.8249,62.9129,48.0012,33.0938,33.0938,
Total_Assets,439.1,188.1,274.2,144.6,157.0,
Total_Liabilities,209.6,162.1,180.1,189.7,5.0,
