AAII_YR_DATA,10/01/2022,10/02/2021,10/03/2020,09/28/2019,09/29/2018
Capital_Expenditures,31.7,28.9,20.6,27.4,28.8
Cash_from_Operations,66.6,169.3,102.1,57.8,43.3
Diluted_EPS,0.854,0.666,0.314,0.004,0.092
Goodwill_Intangibles,213.7,129.0,122.0,117.7,111.6
LT_Debt,779.7,160.0,1179.5,1186.5,1189.5
Net_Income,159.0,126.6,58.6,0.7,17.1
Revenue,1562.1,1342.9,1112.2,928.2,892.6
Shares_Diluted,186.148,190.009,186.6027,186.6027,186.6027
Total_Assets,1109.6,1042.2,746.4,479.7,453.2
Total_Liabilities,1307.6,1259.8,1573.4,1367.1,1342.1
