AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,4.3,3.7,2.5,4.2,5.4,9.4,6.7,11.1,4.3,0.8
Cash_from_Operations,85.8,88.6,71.3,63.8,77.3,83.5,42.4,44.7,57.4,74.4
Diluted_EPS,2.496,2.592,1.183,1.437,1.919,1.414,2.241,1.587,1.484,1.255
Goodwill_Intangibles,19.7,20.2,20.8,16.1,16.1,16.1,16.1,16.1,16.1,16.1
LT_Debt,237.5,179.4,133.3,118.7,115.8,110.7,107.4,29.0,28.8,29.6
Net_Income,76.9,81.8,34.7,41.3,55.1,41.1,64.9,46.2,44.2,37.8
Revenue,316.6,288.6,264.3,279.0,257.0,234.6,221.0,204.1,197.1,200.5
Shares_Diluted,30.823,31.55,29.301,28.723,28.71,29.082,28.97,29.126,29.817,30.073
Total_Assets,8422.9,8045.9,7976.4,7017.8,6834.2,6299.3,6058.5,5704.6,5077.0,4721.5
Total_Liabilities,7745.8,7366.3,7357.4,6438.1,6284.7,5766.7,5544.6,5231.6,4620.8,4289.0
