AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017
Capital_Expenditures,7.8,21.6,1.5,1.2,0.7,3.4
Cash_from_Operations,-16.2,-11.0,-44.2,-46.2,-44.6,-118.0
Diluted_EPS,-10.795,-63.619,-417.315,-443.71,-237.98,-294.234
Goodwill_Intangibles,21.7,86.8,141.7,364.3,238.9,293.3
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-90.7,-46.5,-315.2,-153.8,-176.7,-218.4
Revenue,47.8,68.4,118.4,152.3,137.9,157.3
Shares_Diluted,8.3998,0.7306,0.7552,0.3467,0.7423,0.7423
Total_Assets,165.4,260.8,345.9,652.5,507.0,663.9
Total_Liabilities,53.5,54.6,65.2,78.8,98.5,168.5
