AAII_YR_DATA,12/31/2022,01/01/2022,01/02/2021,12/28/2019,12/29/2018,12/30/2017,12/31/2016,01/02/2016,01/03/2015,12/31/2013
Capital_Expenditures,77.6,77.7,58.2,72.1,166.1,101.1,59.0,78.5,96.7,
Cash_from_Operations,265.8,382.4,309.0,348.9,313.5,319.9,376.7,275.9,81.5,
Diluted_EPS,0.768,0.999,0.272,2.366,0.841,0.604,0.203,0.088,-0.5,
Goodwill_Intangibles,3471.5,3705.2,3908.8,3936.5,4036.5,4212.3,4056.4,4340.5,,
LT_Debt,2428.0,2528.7,2668.2,2913.7,2953.4,3889.3,3791.3,3820.8,0.0,0.0
Net_Income,220.8,297.1,79.4,690.1,245.3,151.3,57.7,24.9,-142.1,
Revenue,3554.2,3474.4,2793.0,3087.1,3347.6,3041.7,2747.0,2745.1,3042.2,2947.3
Shares_Diluted,287.5862,297.2941,292.116,291.6275,291.6983,250.4908,283.9746,283.9746,283.9746,283.9746
Total_Assets,7191.6,7533.0,7426.3,7411.3,6722.6,6853.7,6383.3,6565.6,,
Total_Liabilities,4081.6,4433.3,4620.6,4760.3,4775.2,5839.1,5692.0,5779.3,,
