AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,123.7,46.9,,
Cash_from_Operations,-230.7,126.5,-1.1,
Diluted_EPS,-2.26,-0.928,-0.052,
Goodwill_Intangibles,489.9,584.4,,
LT_Debt,226.2,0.0,0.0,0.0
Net_Income,-555.2,-190.0,-1.6,
Revenue,1579.8,1194.3,,
Shares_Diluted,245.6721,204.7809,29.9683,
Total_Assets,1923.2,1981.1,241.1,
Total_Liabilities,1671.3,1250.9,9.9,
