AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,15.2,8.5,11.0,9.7,13.0,10.6,9.4,13.3,11.8
Cash_from_Operations,-15.9,33.6,-7.1,-6.7,-15.8,-5.6,20.5,20.0,37.8
Diluted_EPS,-0.67,0.545,-1.667,-5.57,-0.98,-6.679,0.131,-0.114,1.195
Goodwill_Intangibles,6.2,7.2,7.6,9.2,11.0,11.6,,,
LT_Debt,40.9,24.8,50.5,31.9,46.8,25.4,0.0,0.0,0.0
Net_Income,-12.7,8.0,-21.0,-69.3,-12.1,-79.8,1.4,-1.2,12.4
Revenue,344.9,328.5,397.9,419.4,385.2,331.9,238.5,272.9,281.1
Shares_Diluted,18.953,14.636,12.59,12.448,12.33,11.951,10.447,10.405,10.405999999999999
Total_Assets,485.6,463.2,506.6,571.1,565.6,565.9,506.2,536.4,502.7
Total_Liabilities,403.1,386.6,457.7,483.5,406.7,418.0,294.7,331.3,267.7
