AAII_YR_DATA,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013
Capital_Expenditures,2.6,1.4,2.7,2.4,2.2,3.3,3.6,13.2,9.0
Cash_from_Operations,15.7,4.0,4.9,15.7,0.5,1.7,5.1,18.6,13.8
Diluted_EPS,0.155,0.08,0.739,0.385,-0.456,0.321,-0.57,-1.253,0.949
Goodwill_Intangibles,13.4,14.9,16.8,21.8,26.6,29.2,55.1,67.1,46.9
LT_Debt,0.7,1.5,0.6,0.3,0.4,0.5,0.5,1.5,1.4
Net_Income,1.8,0.9,8.6,4.3,-5.0,3.4,-5.5,-11.4,7.9
Revenue,54.9,56.4,67.8,60.9,65.4,64.6,51.0,36.4,49.8
Shares_Diluted,11.5,11.7844,11.622,11.1973,10.9123,10.5848,9.7281,9.0633,8.289
Total_Assets,86.6,88.5,87.5,99.8,99.7,93.3,89.0,94.9,102.7
Total_Liabilities,32.0,29.5,29.4,37.0,36.3,29.0,29.2,32.3,30.6
