AAII_YR_DATA,12/31/2022
Capital_Expenditures,69.0
Cash_from_Operations,67.1
Diluted_EPS,2.716
Goodwill_Intangibles,1809.3
LT_Debt,5225.6
Net_Income,295.3
Revenue,4000.1
Shares_Diluted,108.7212
Total_Assets,24745.9
Total_Liabilities,18937.1
