AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.1,0.2,0.1,0.1,0.2,0.1
Cash_from_Operations,-44.0,-62.9,-50.8,-33.3,-11.7,-9.8
Diluted_EPS,-1.542,-3.027,-2.634,-1.943,-0.48,-0.47
Goodwill_Intangibles,5.9,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,7.2
Net_Income,-51.7,-89.9,-76.8,-37.0,-12.5,-12.2
Revenue,,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,33.4965,29.7185,29.1762,19.0319,26.0133,26.0133
Total_Assets,103.9,133.2,189.5,124.4,72.9,7.7
Total_Liabilities,3.3,14.6,17.2,8.9,1.5,10.8
