AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,28.3,13.9,24.5,59.7,70.1,32.1,21.7,25.3
Cash_from_Operations,117.9,63.8,143.4,209.6,167.2,34.7,24.0,45.9
Diluted_EPS,1.8,0.832,0.72,1.879,0.688,0.889,-0.109,0.283
Goodwill_Intangibles,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
LT_Debt,6.4,5.8,2.2,3.9,8.7,249.4,244.3,250.6
Net_Income,110.2,49.6,34.4,85.6,51.7,66.5,-8.2,21.2
Revenue,688.4,438.6,348.6,628.4,544.1,341.2,155.0,221.4
Shares_Diluted,76.337,76.107,75.495,75.353,75.1092,74.8898,74.8898,74.8898
Total_Assets,1118.9,982.1,815.6,835.0,584.7,266.5,165.3,177.6
Total_Liabilities,547.0,513.4,462.6,507.5,407.1,302.7,268.6,270.7
