AAII_YR_DATA,01/01/2023,01/02/2022,01/03/2021,12/29/2019,12/30/2018,12/31/2017,01/01/2017,01/03/2016,12/28/2014,12/29/2013
Capital_Expenditures,286.0,208.0,189.0,209.0,296.0,310.0,260.0,143.0,106.0,79.2
Cash_from_Operations,392.0,545.0,1080.0,1051.0,1142.0,875.0,779.0,786.0,501.3,386.4
Diluted_EPS,-28.051,5.046,4.432,6.725,5.544,4.905,3.125,3.096,2.372,0.895
Goodwill_Intangibles,6524.0,10363.0,1039.0,969.0,1016.0,946.0,1018.6,1299.9,1039.4,1054.2
LT_Debt,1487.0,1695.0,673.0,1141.0,890.0,1182.0,1047.8,1015.6,986.8,972.2
Net_Income,-4404.0,762.0,656.0,1002.0,826.0,726.0,462.6,461.6,353.4,125.3
Revenue,4584.0,4526.0,3239.0,3543.0,3333.0,2752.0,2398.4,2219.8,1861.4,1421.2
Shares_Diluted,157.0,151.0,148.0,149.0,149.0,148.0,148.04,149.069,148.977,139.936
Total_Assets,12252.0,15217.0,7585.0,7316.0,6959.0,5257.0,4280.6,3687.7,3339.6,3019.0
Total_Liabilities,5653.0,4477.0,2891.0,2703.0,3201.0,2508.0,2083.4,1839.2,1876.8,1485.8
