AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,15.8,25.1,34.7,16.1,20.7,9.6,24.7
Cash_from_Operations,0.0,21.3,1.7,19.7,5.5,6.6,6.4
Diluted_EPS,-0.429,-0.159,-0.138,0.082,-0.07,-0.708,-0.239
Goodwill_Intangibles,129.1,77.8,77.1,76.4,77.1,76.2,76.2
LT_Debt,121.8,100.9,0.0,0.0,0.0,0.0,1.4
Net_Income,-54.8,-19.3,-16.0,9.8,-7.6,-73.9,-24.0
Revenue,217.6,230.2,200.6,195.7,184.4,168.2,170.9
Shares_Diluted,127.789,121.196,115.89,120.01,108.814,104.35,100.105
Total_Assets,311.1,314.2,209.4,198.9,196.4,208.1,225.6
Total_Liabilities,169.5,139.0,42.8,33.8,52.3,70.6,27.5
