AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,47.4,29.8,25.8,20.8,,
Cash_from_Operations,108.0,110.8,-3.7,45.6,0.1,-0.5
Diluted_EPS,0.812,0.333,-0.005,-0.254,0.122,-0.01
Goodwill_Intangibles,331.4,212.8,228.7,218.7,,
LT_Debt,518.6,324.0,321.9,334.7,0.0,0.0
Net_Income,74.1,31.6,-0.4,-15.7,6.9,-0.4
Revenue,969.8,734.7,316.4,428.7,0.0,0.0
Shares_Diluted,91.229,94.638,83.045,61.85,56.25,37.0389
Total_Assets,862.8,616.1,560.2,509.3,457.5,450.5
Total_Liabilities,684.2,457.6,432.4,485.3,16.0,15.9
