AAII_YR_DATA,03/31/2022,03/31/2021,12/31/2020,03/31/2020,12/31/2019,03/31/2019
Capital_Expenditures,4.0,4.1,0.0,68.4,0.0,27.4
Cash_from_Operations,-166.8,-74.3,-0.6,-185.8,,-98.1
Diluted_EPS,-0.602,-4.226,-0.777,-6.524,,-5.323
Goodwill_Intangibles,435.3,6.9,0.0,5.4,0.0,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-217.5,-183.6,-48.6,-250.9,,-183.5
Revenue,271.9,243.9,,305.5,0.0,440.9
Shares_Diluted,361.5281,43.4498,62.5595,38.4538,,34.4825
Total_Assets,1152.1,452.1,509.9,404.6,,
Total_Liabilities,236.4,210.4,88.1,270.4,,
