AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018
Capital_Expenditures,5.4,18.9,11.4,2.7,1.3
Cash_from_Operations,-18.1,4.6,-4.4,-3.9,-8.4
Diluted_EPS,-3.207,-1.192,-0.705,-0.105,-0.103
Goodwill_Intangibles,2795.5,2189.4,,,
LT_Debt,1698.0,989.4,0.0,0.0,5.8
Net_Income,-326.4,-98.7,-31.1,-7.3,-7.2
Revenue,642.0,238.3,157.6,108.4,64.9
Shares_Diluted,101.753,82.813,44.106,69.5544,69.5544
Total_Assets,9256.0,5969.2,2404.0,1526.3,1029.3
Total_Liabilities,5212.3,3439.6,1693.3,1352.6,940.0
