AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,4100.3,4213.6,5212.6,3888.3,6512.4,3895.0,4599.8,3531.6
Cash_from_Operations,20440.7,23283.4,20608.3,24847.4,22176.7,20006.6,16651.1,15530.6
Diluted_EPS,2.133,2.247,2.293,2.167,1.694,1.393,1.545,1.309
Goodwill_Intangibles,22760.6,25447.9,23605.3,23103.5,20306.3,20474.0,25894.1,25400.2
LT_Debt,24733.0,18982.1,12316.6,15037.2,17845.5,17581.3,18861.1,17413.4
Net_Income,13787.3,15462.3,15867.5,14981.7,11655.0,9582.6,10629.4,9025.5
Revenue,70241.9,69709.1,64738.5,68227.3,63099.1,59161.9,56139.4,49027.5
Shares_Diluted,6464.0,6880.0,6920.0,6912.0,6880.0,6880.0,6880.0,6896.0
Total_Assets,97847.6,102472.0,95613.2,92231.0,87153.9,85110.4,85269.1,77151.7
Total_Liabilities,66776.5,75289.1,55274.7,55881.8,56493.5,55760.9,58727.9,55788.2
