AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,515.7,232.8,196.7,393.0,,,,
Cash_from_Operations,699.6,709.8,753.4,622.4,83.5,28.1,9.5,0.3
Diluted_EPS,0.678,0.69,-0.257,-0.803,0.33,0.012,0.052,0.004
Goodwill_Intangibles,1286.1,1356.8,1427.4,2073.6,,,,
LT_Debt,3361.3,3122.9,3091.6,2892.2,0.0,0.0,0.0,0.0
Net_Income,325.7,331.1,-123.1,-355.6,61.4,2.3,9.7,0.8
Revenue,920.0,898.2,900.7,792.6,,,,
Shares_Diluted,480.3,479.736,478.278,442.64,186.203,186.176,186.1702,186.1702
Total_Assets,5791.3,5544.0,5610.9,6282.9,47.7,29.8,17.4,1.0
Total_Liabilities,3599.0,3257.3,3192.6,3139.5,16.8,14.2,7.1,0.5
