AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,5.5,10.8,13.8,29.7,27.6
Cash_from_Operations,200.1,228.7,167.8,3.1,200.3
Diluted_EPS,-0.191,-0.399,-0.613,-0.669,-0.613
Goodwill_Intangibles,3165.0,3408.2,3706.7,3905.6,
LT_Debt,1821.8,1837.4,2777.8,2595.3,0.0
Net_Income,-53.7,-99.9,-167.9,-183.2,-167.7
Revenue,1505.1,1444.1,1323.1,1306.5,1228.4
Shares_Diluted,281.129,250.4179,273.6986,273.6986,273.6986
Total_Assets,4970.9,4986.3,5073.4,5050.7,
Total_Liabilities,2916.5,3002.6,3906.8,3755.8,
