AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.4,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-5.9,-6.4,-4.2,-3.1,-2.0,0.1
Diluted_EPS,-0.484,-1.747,-0.733,-0.332,-0.143,-0.124
Goodwill_Intangibles,0.0,0.7,1.1,1.2,0.9,1.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-7.6,-16.4,-8.3,-3.7,-1.6,-1.4
Revenue,,0.2,0.4,0.8,0.0,0.2
Shares_Diluted,15.7604,9.3625,11.2529,11.2529,11.2529,11.2529
Total_Assets,3.4,3.6,2.2,1.8,2.9,1.6
Total_Liabilities,2.4,1.5,8.2,2.1,4.7,3.6
