AAII_YR_DATA,04/01/2023,04/02/2022,04/03/2021,03/28/2020,03/30/2019,03/31/2018,04/01/2017,04/02/2016,03/28/2015,03/29/2014
Capital_Expenditures,110.2,96.5,37.0,48.8,119.0,74.8,76.1,102.4,122.2,73.6
Cash_from_Operations,273.1,172.3,108.8,158.2,159.3,220.4,159.7,121.9,127.2,139.5
Diluted_EPS,2.244,0.845,1.549,1.477,1.039,0.852,-0.51,-1.092,0.324,0.6709999999999999
Goodwill_Intangibles,742.0,777.5,831.9,343.8,338.5,368.0,388.4,472.3,578.9,607.9
LT_Debt,754.1,559.4,690.6,305.5,322.5,59.4,253.6,364.5,406.4,392.1
Net_Income,115.4,43.4,79.5,76.5,55.0,45.6,-26.3,-55.6,16.9,35.1
Revenue,1168.7,993.2,870.5,988.5,967.6,903.9,886.1,908.8,910.4,938.5
Shares_Diluted,51.42,51.353,51.292,51.815,52.942,53.501,51.524,50.91,52.089,52.089
Total_Assets,1934.8,1859.7,1819.9,1267.1,1274.8,1237.3,1238.7,1319.1,1485.4,1514.2
Total_Liabilities,1116.8,1110.3,1088.3,680.0,606.9,484.9,499.1,597.6,659.3,676.3
