AAII_YR_DATA,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018
Capital_Expenditures,4.7,18.4,11.2,7.0,4.7,6.6
Cash_from_Operations,-90.1,-74.7,2.9,0.8,-2.1,-11.1
Diluted_EPS,-3.359,-2.369,-0.691,-4.503,-1.286,-1.085
Goodwill_Intangibles,80.3,64.0,21.5,10.2,9.5,6.7
LT_Debt,2.7,7.4,6.5,21.5,30.3,20.1
Net_Income,-176.1,-118.2,-27.3,-91.4,-45.3,-38.2
Revenue,280.9,213.2,148.7,124.8,99.9,79.8
Shares_Diluted,52.4401,49.8884,39.5196,20.3012,35.1855,35.1855
Total_Assets,370.1,494.5,326.7,158.8,59.3,57.1
Total_Liabilities,82.2,77.2,63.4,56.9,63.7,48.5
