AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,13970.0,12326.0,11034.0,6391.0,5541.0,5237.0,4702.0,4724.0,4317.0,4025.0
Cash_from_Operations,16781.0,13917.0,8640.0,6824.0,3899.0,3831.0,2779.0,5414.0,4146.0,3545.0
Diluted_EPS,2.317,2.41,2.653,4.017,3.365,5.14,1.687,0.824,0.303,0.052
Goodwill_Intangibles,111540.0,109527.0,99243.0,38510.0,37658.0,37266.0,29073.0,26826.0,24508.0,40354.0
LT_Debt,72100.0,72831.0,71018.0,28526.0,29263.0,29297.0,30053.0,28719.0,24394.0,22441.0
Net_Income,2590.0,3024.0,3064.0,3468.0,2888.0,4481.0,1405.0,678.0,247.0,35.0
Revenue,79571.0,80118.0,68397.0,44998.0,43310.0,40604.0,37490.0,32053.0,29564.0,24420.0
Shares_Diluted,1255.377,1254.77,1154.749,863.4335,858.2902,871.7875,833.0546,822.6179,815.9223,676.8852
Total_Assets,211338.0,206563.0,200162.0,86921.0,72468.0,70563.0,65891.0,62413.0,56653.0,49953.0
Total_Liabilities,141682.0,137461.0,134818.0,58132.0,47750.0,48004.0,47655.0,45856.0,40990.0,35708.0
