AAII_YR_DATA,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017
Capital_Expenditures,0.0,0.1,0.0,0.0,0.0,0.0
Cash_from_Operations,-2.9,-3.6,-1.0,-0.4,-0.5,0.0
Diluted_EPS,-0.067,-0.081,-0.085,-0.009,-0.005,0.0
Goodwill_Intangibles,0.0,2.4,3.8,,,0.0
LT_Debt,0.2,0.9,0.7,0.6,0.0,0.0
Net_Income,-11.9,-11.7,-9.8,-0.9,-0.5,0.0
Revenue,0.3,0.1,0.0,0.0,0.0,0.0
Shares_Diluted,177.6023,143.7148,115.2075,104.8506,102.8439,102.8439
Total_Assets,0.7,3.9,5.0,1.3,1.0,0.4
Total_Liabilities,2.9,3.6,3.0,0.9,0.1,0.0
