AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.3,0.1,,0.0,,
Cash_from_Operations,-2.9,-0.9,-0.8,-0.8,-1.1,0.0
Diluted_EPS,-4.587,-68.794,-663.396,-0.528,-20.758,-0.499
Goodwill_Intangibles,0.5,1.3,2.3,3.1,1.8,0.0
LT_Debt,3.2,2.1,0.7,0.1,0.2,0.0
Net_Income,-9.8,-6.5,-13.9,-0.6,-15.1,-0.3
Revenue,2.6,3.6,2.5,1.5,0.0,0.0
Shares_Diluted,2.1402,0.0947,0.021,1.1498,0.727,0.6579
Total_Assets,4.2,3.1,3.1,3.7,2.1,0.0
Total_Liabilities,13.0,7.3,6.6,10.1,14.4,0.6
