AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,35.4,11.2,8.8,6.0,10.1,
Cash_from_Operations,9.1,-11.7,-5.9,-12.1,4.5,
Diluted_EPS,-1.146,-1.192,-4.351,-1.187,-0.199,-0.605
Goodwill_Intangibles,341.2,294.1,131.9,139.4,147.1,
LT_Debt,497.3,470.2,15.8,123.5,81.6,0.0
Net_Income,-128.1,-112.7,-273.4,-160.3,-26.9,-81.7
Revenue,391.9,316.9,232.0,166.8,131.8,108.4
Shares_Diluted,111.798,94.515,62.84,135.0806,135.0806,135.0806
Total_Assets,1151.1,1032.0,447.5,236.4,215.0,193.0
Total_Liabilities,983.8,849.0,346.0,275.7,180.2,
