AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,344.0,314.5,383.9,457.5,537.4,495.2,330.0,363.8,364.8,389.4
Cash_from_Operations,454.5,375.7,429.4,512.5,499.3,420.4,495.7,356.9,325.4,361.6
Diluted_EPS,2.197,2.246,1.809,1.991,1.849,1.517,2.292,1.498,1.633,1.6230000000000002
Goodwill_Intangibles,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2
LT_Debt,2261.8,2238.2,2063.8,1862.5,1989.7,1874.7,1811.6,1907.0,1797.2,1737.5
Net_Income,241.1,246.2,197.8,217.9,201.8,165.3,248.3,159.9,168.1,161.7
Revenue,3742.0,2850.4,2579.8,2873.9,2860.8,2555.6,2380.7,2603.0,3239.5,3238.5
Shares_Diluted,109.778,109.58,109.356,109.407,109.146,108.933,108.309,106.721,102.937,99.623
Total_Assets,16284.2,15822.6,15004.0,13745.3,13104.1,12534.2,12425.5,11782.0,11185.1,10340.0
Total_Liabilities,14047.5,13397.5,12632.2,11430.7,10907.5,10402.5,10324.5,9820.1,9360.3,8578.7
