AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1.1,2.0,0.4,0.6,2.9,0.7,2.7,2.2
Cash_from_Operations,22.8,16.6,20.7,13.6,11.9,10.3,14.1,9.9
Diluted_EPS,0.835,0.83,0.963,0.48,0.392,0.621,0.409,0.517
Goodwill_Intangibles,15.7,16.5,1.8,2.0,2.3,,,
LT_Debt,20.3,20.3,22.7,27.3,29.0,30.0,10.3,15.5
Net_Income,14.2,15.0,15.7,7.3,5.3,8.3,5.5,7.7
Revenue,60.1,59.6,52.7,45.9,41.0,38.8,36.7,37.3
Shares_Diluted,16.963,18.024,16.332,15.31,13.425,13.365,13.52,14.964
Total_Assets,1764.0,1479.6,1307.1,1269.4,1141.0,1015.4,997.2,956.3
Total_Liabilities,1586.3,1305.1,1168.8,1142.2,1046.9,924.9,893.6,854.6
