AAII_YR_DATA,12/31/2022,12/31/2021
Capital_Expenditures,97.7,
Cash_from_Operations,377.9,
Diluted_EPS,0.123,0.236
Goodwill_Intangibles,419.5,
LT_Debt,1092.9,0.0
Net_Income,56.1,108.1
Revenue,3409.1,2753.4
Shares_Diluted,454.7961,457.135
Total_Assets,3056.6,
Total_Liabilities,2268.1,
