AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,40.1,21.0,8.6,2.8,3.1,2.3,0.7,0.1
Cash_from_Operations,-5.2,7.8,5.2,9.6,0.0,-3.2,-1.5,-0.8
Diluted_EPS,0.24,1.816,-0.002,-0.065,-0.457,-0.598,-0.525,-0.707
Goodwill_Intangibles,247.8,196.7,168.8,138.5,135.7,34.0,20.8,5.3
LT_Debt,27.0,28.5,21.8,17.6,0.0,0.0,0.0,0.0
Net_Income,7.1,52.7,0.0,-1.5,-9.1,-6.5,-3.2,-1.0
Revenue,81.2,57.0,45.7,41.4,20.0,9.0,3.8,0.7
Shares_Diluted,29.7662,29.0465,25.6758,22.7784,19.9335,10.8172,6.0436,1.4813
Total_Assets,683.7,807.1,640.7,436.9,332.2,153.5,65.7,23.8
Total_Liabilities,180.2,310.7,259.1,91.7,17.0,6.3,3.5,0.3
