AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1400.4,1055.1,1042.2,1602.5,2999.0,3949.7,2005.9,2451.1,2451.7,1763.4
Cash_from_Operations,3465.6,1662.4,1537.7,1851.7,2976.3,1637.7,1064.3,1216.9,1414.7,1162.9
Diluted_EPS,4.357,-3.536,-3.679,-4.788,-8.602,8.051,-2.713,0.557,2.537,2.573
Goodwill_Intangibles,,,,26.0,77.3,1207.2,,,,
LT_Debt,5256.3,4530.1,4771.3,5276.8,4793.0,5984.9,3289.5,2793.3,2793.5,2490.4
Net_Income,1771.0,-1142.7,-958.8,-1221.7,-2244.6,1508.5,-453.0,85.2,387.0,390.6
Revenue,7497.7,3064.7,3058.8,4416.5,4557.9,3091.0,1387.1,2339.8,2469.7,1862.0
Shares_Diluted,406.495,323.196,260.613,255.141,260.932,187.38,166.978,152.939,152.513,151.787
Total_Assets,22669.9,21607.4,18113.5,18809.2,20721.3,29522.6,15472.9,13976.2,12035.4,9792.1
Total_Liabilities,11497.5,11652.6,8858.2,9005.6,9763.1,16203.0,9612.6,8898.4,7452.5,5757.3
