AAII_YR_DATA,01/28/2023,01/29/2022,01/30/2021,02/01/2020,02/02/2019,02/03/2018,01/28/2017,01/30/2016,01/31/2015,02/01/2014
Capital_Expenditures,138.9,129.6,83.0,136.3,133.5,237.4,278.0,226.5,220.2,152.7
Cash_from_Operations,797.9,1257.3,1372.3,555.7,697.7,1940.5,678.3,443.3,283.0,235.5
Diluted_EPS,6.035,11.673,-0.937,1.402,-12.62,6.968,6.927,5.871,4.754,4.56
Goodwill_Intangibles,1159.1,798.8,417.0,512.6,561.6,1303.2,934.6,1371.1,966.3,26.8
LT_Debt,147.4,147.1,146.7,515.9,649.6,688.2,1317.9,1321.0,1363.8,0.0
Net_Income,342.2,735.4,-48.7,72.6,-690.3,486.4,531.3,467.9,381.3,368.0
Revenue,7842.1,7826.0,5226.9,6137.1,6247.1,6253.0,6408.4,6550.2,5736.3,4209.2
Shares_Diluted,56.7,63.0,52.0,51.8,54.7,69.8,76.7,79.7,80.2,80.7
Total_Assets,6620.4,6575.1,6178.9,6299.1,4418.1,5839.6,6597.8,6464.9,6214.3,4029.2
Total_Liabilities,4388.0,4359.0,4346.3,4459.5,2603.2,2726.2,3495.7,3404.2,3403.9,1466.1
