AAII_YR_DATA,08/31/2022,08/31/2021,08/31/2020,06/30/2020,08/31/2019,06/30/2019,08/31/2018,06/30/2018,08/31/2017,06/30/2017,08/31/2016,06/30/2016,06/30/2015,06/30/2014,06/30/2013
Capital_Expenditures,0.6,1.6,0.5,8.8,1.2,7.7,2.5,2.4,1.8,0.0,0.5,0.0,0.0,0.1,0.3
Cash_from_Operations,6.7,17.1,7.6,13.4,-9.8,2.7,19.9,-3.8,11.0,-10.5,-0.6,-34.6,-60.0,74.3,-69.9
Diluted_EPS,-0.223,0.066,0.017,-0.51,0.032,-0.115,0.254,-0.456,0.032,-0.925,0.057,1.001,-4.437,0.048,-6.289
Goodwill_Intangibles,13.0,12.7,13.3,65.1,17.7,68.0,19.8,9.4,20.5,4.1,13.9,,,,
LT_Debt,78.6,99.6,99.8,96.9,102.1,90.0,87.1,58.9,26.0,2.9,28.7,0.0,29.9,25.7,22.1
Net_Income,-15.3,4.7,1.2,-13.0,2.6,-2.9,19.9,-11.1,2.4,-15.2,3.9,9.4,-41.8,0.4,-47.6
Revenue,73.2,60.9,62.5,64.1,71.0,51.2,74.9,5.9,53.6,4.9,36.1,0.0,0.0,0.0,0.1
Shares_Diluted,68.6884,71.7227,74.2376,25.418,81.0252,25.21,78.445,24.277,74.4815,16.433,68.4372,9.412,9.412,8.999,7.5703
Total_Assets,477.7,519.0,452.8,195.4,389.7,182.7,340.8,133.6,166.9,76.7,102.3,80.9,88.9,150.4,78.2
Total_Liabilities,449.9,468.2,401.5,134.7,338.2,121.7,291.4,69.2,137.2,10.5,78.3,44.1,65.4,87.4,34.3
