AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,42.1,53.7,37.2,22.0,66.4,19.8,4.1,6.4
Cash_from_Operations,137.0,144.7,144.9,114.1,105.3,45.8,66.4,85.1
Diluted_EPS,0.703,0.78,-0.012,-4.858,0.9,0.556,-0.813,-0.07
Goodwill_Intangibles,217.9,227.0,233.9,249.0,467.2,395.8,160.7,
LT_Debt,582.3,531.4,618.6,633.3,622.6,574.3,281.7,0.0
Net_Income,44.5,51.0,-0.8,-312.4,68.4,22.0,-17.0,-1.5
Revenue,1773.3,1556.8,1454.1,1737.0,1613.1,846.3,651.8,678.8
Shares_Diluted,63.2835,65.4093,64.7753,64.3034,66.3252,39.5937,20.981,20.981
Total_Assets,1195.4,1087.4,1126.9,1140.6,1390.9,1125.7,570.2,201.7
Total_Liabilities,1002.4,911.4,988.1,1001.9,943.9,774.4,467.2,7.4
