AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012
Capital_Expenditures,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,,0.0,0.0
Cash_from_Operations,-5.1,-1.3,-2.5,-4.5,-9.0,-4.8,-3.0,-2.2,-3.4,-3.1,-2.6
Diluted_EPS,-0.215,-0.324,0.028,-1.298,-11.076,-15.147,-55.535,-39.83,-32.17,-172.673,
Goodwill_Intangibles,,,,,1.5,0.1,0.1,0.0,,,
LT_Debt,3.7,4.7,3.4,0.0,0.6,0.0,0.0,2.8,0.0,0.0,0.0
Net_Income,-10.6,-15.9,1.4,-54.8,-9.6,-7.1,-5.9,-3.4,-2.7,-10.9,-3.4
Revenue,18.4,20.6,23.2,22.8,1.3,0.1,0.1,0.1,0.1,0.1,0.1
Shares_Diluted,49.4399,49.2532,48.897,42.2595,0.8666,0.4696,0.107,0.0848,0.0828,0.0632,0.0016
Total_Assets,48.2,56.7,59.5,59.5,5.2,6.1,0.5,0.6,1.3,1.4,0.1
Total_Liabilities,82.3,78.2,64.7,70.5,1.1,1.5,1.6,5.4,3.1,3.6,13.2
