AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,397.3,244.6,194.4,350.2,349.5,558.2,786.9,1131.5,1152.8,775.7
Cash_from_Operations,1167.2,119.1,1520.4,1527.9,610.8,-22.0,863.6,2215.0,2044.1,2377.4
Diluted_EPS,4.326,1.864,-1.075,1.258,1.484,0.923,0.094,-0.136,1.963,2.628
Goodwill_Intangibles,1332.5,1372.2,1429.1,1561.6,1466.0,1660.9,1862.8,2143.5,2757.6,3067.2
LT_Debt,130.0,194.1,529.6,233.2,29.2,34.6,31.5,223.2,30.8,246.2
Net_Income,2553.3,1100.2,-634.4,742.7,876.1,544.7,55.3,-80.2,1158.5,1551.4
Revenue,11762.5,6521.2,5146.7,7294.1,7658.6,5288.5,4293.6,6903.1,10141.5,10596.8
Shares_Diluted,590.2685,590.2685,590.2685,590.2685,590.2685,590.2685,590.2685,590.2685,590.2685,590.2685
Total_Assets,17550.2,14449.4,13716.2,14843.0,14251.3,14398.2,14003.3,14887.0,16510.7,15931.0
Total_Liabilities,3644.5,2488.9,2453.3,2854.0,2468.4,2916.0,2715.9,3173.6,3856.6,3640.6
