AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,09/30/2014,09/30/2013
Capital_Expenditures,0.2,0.3,0.7,0.8,0.1,4.4,1.6,1.9,0.0,0.0
Cash_from_Operations,50.7,28.2,49.5,56.0,52.4,58.9,53.2,-9.7,-13.8,-5.9
Diluted_EPS,2.728,-0.661,0.871,1.012,2.088,3.265,4.956,0.158,-1.973,-0.71
Goodwill_Intangibles,163.4,50.4,52.7,55.3,57.8,63.1,73.1,,,
LT_Debt,56.2,0.0,25.1,33.6,38.2,42.9,0.0,0.0,0.0,0.0
Net_Income,35.6,-8.6,12.0,14.3,31.9,51.9,81.5,2.6,-19.6,-9.9
Revenue,316.6,171.5,187.8,195.9,213.3,236.7,189.5,66.2,19.1,13.7
Shares_Diluted,13.0655,13.0511,13.7714,14.1387,15.2787,15.9082,16.4341,16.2538,9.9559,13.9187
Total_Assets,406.2,253.7,253.2,254.6,238.6,270.1,214.3,124.6,53.4,18.1
Total_Liabilities,172.6,77.3,67.2,75.4,77.8,90.9,63.1,34.3,20.3,16.0
