AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,0.0,0.1,,,0.0,0.0,0.0,0.0
Cash_from_Operations,-2.6,-3.3,-2.3,-1.6,-2.4,-0.9,-1.3,-1.5,-2.0,-2.8
Diluted_EPS,-1.701,0.489,-1.483,-1.167,-1.562,-7.05,-11.997,-23.737,-110.794,-295.593
Goodwill_Intangibles,10.4,0.5,0.4,0.3,0.3,0.2,0.2,0.3,0.1,0.1
LT_Debt,1.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Net_Income,-14.4,3.6,-5.9,-2.5,-2.9,-4.0,-1.6,-2.3,-7.9,-17.4
Revenue,19.6,0.9,0.3,0.2,0.1,0.0,0.0,0.2,0.1,0.0
Shares_Diluted,8.4661,7.3834,3.9802,2.1491,1.877,0.5649,0.1372,0.097,0.0715,0.0588
Total_Assets,20.8,21.7,8.8,0.9,2.1,0.9,0.3,0.3,0.6,1.8
Total_Liabilities,7.2,0.5,0.5,1.0,0.5,1.1,1.6,2.5,12.7,7.8
