AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
Capital_Expenditures,3.3,6.5,1.3,4.0,,,,0.2,0.1,4.1,2.8,0.2,4.6,0.4
Cash_from_Operations,27.5,21.6,15.7,14.3,,,,4.4,1.7,0.6,5.6,6.6,-2.9,3.2
Diluted_EPS,1.61,0.751,0.57,0.6,0.607,0.373,0.234,0.078,0.069,-0.204,0.189,0.147,-0.204,0.17
Goodwill_Intangibles,0.2,0.7,0.7,0.7,,,,1.0,1.1,1.5,1.8,1.8,1.9,2.0
LT_Debt,0.5,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,24.8,11.9,12.3,13.0,,,,1.7,1.1,-2.5,2.4,1.9,-2.6,2.2
Revenue,72.0,48.4,49.0,53.8,,,,19.9,18.6,20.0,22.2,24.6,24.4,21.9
Shares_Diluted,15.433,15.854,21.6463,21.5978,21.5511,21.5206,21.5044,21.7523,16.505,12.295,12.458,12.709,12.797,12.771
Total_Assets,1425.0,1225.1,968.2,955.2,870.3,814.8,734.5,515.4,458.2,444.2,489.3,466.0,527.3,424.2
Total_Liabilities,1163.0,973.7,814.4,813.1,,,,411.6,354.1,340.4,382.2,357.9,419.8,313.7
