AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,235.0,259.8,75.5,95.5,99.4,56.6,45.3,51.2,51.4
Cash_from_Operations,2643.5,3253.5,1569.3,1270.3,844.9,236.1,-365.4,-573.1,-51.6
Diluted_EPS,9.012,10.295,4.515,8.088,1.039,-0.458,-2.305,-3.139,-1.979
Goodwill_Intangibles,1402.2,1402.2,1402.2,50.4,79.4,334.7,334.7,68.9,31.0
LT_Debt,509.8,539.0,538.6,581.5,583.9,521.3,739.4,792.9,489.7
Net_Income,2342.1,2711.6,1176.8,2096.4,263.2,-112.1,-556.3,-738.6,-445.0
Revenue,7574.4,6205.7,4162.8,3047.6,2488.7,1702.2,1032.3,580.4,1212.0
Shares_Diluted,259.9,263.396,260.673,259.185,253.225,244.685,241.312,235.307,224.906
Total_Assets,13432.5,11751.8,8318.5,6245.9,3546.0,2896.8,2498.6,2334.7,2319.0
Total_Liabilities,3332.5,3065.0,2233.2,1810.7,1517.4,1740.2,1558.6,1259.7,962.6
