AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.2,5.6,5.2,12.1,4.4,2.1
Cash_from_Operations,-178.8,-158.3,-131.8,-98.2,-72.8,-88.7
Diluted_EPS,-1.75,-2.113,0.204,14.859,-1.594,1.108
Goodwill_Intangibles,0.8,1.0,0.9,0.6,3.1,3.3
LT_Debt,34.4,43.3,46.9,34.9,0.0,0.0
Net_Income,-50.4,-60.6,6.0,421.1,-43.7,26.5
Revenue,15.6,17.4,11.8,9.8,20.7,2.5
Shares_Diluted,28.7797,28.6591,29.2856,28.3427,27.3848,23.8921
Total_Assets,702.6,946.0,990.0,941.2,441.8,339.8
Total_Liabilities,160.4,352.5,320.2,273.1,166.3,129.9
