AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,340.8,188.4,68.4,109.7,,
Cash_from_Operations,46.0,138.9,42.8,18.8,-1.5,-0.7
Diluted_EPS,0.157,-0.752,-0.434,-0.818,0.434,-0.075
Goodwill_Intangibles,1032.8,1023.7,305.6,308.7,,
LT_Debt,1358.0,1313.4,721.1,735.7,0.0,0.0
Net_Income,38.9,-181.5,-21.3,-27.1,5.2,-0.8
Revenue,1573.1,1167.2,302.7,264.0,,
Shares_Diluted,247.705,241.3703,49.0646,33.0662,11.9327,10.4338
Total_Assets,2938.2,2683.8,768.4,815.3,408.2,403.1
Total_Liabilities,2049.8,1825.3,799.5,827.4,14.2,14.3
