AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,0.7,1.3,0.7,1.3,0.9,1.0,0.9,1.1,0.8,0.3,0.2
Cash_from_Operations,17.8,18.4,15.0,14.7,14.7,13.5,11.8,13.6,13.5,10.7,11.7
Diluted_EPS,6.414,6.867,6.12,5.513,5.248,4.49,3.98,3.668,3.778,2.573,2.881
Goodwill_Intangibles,22.5,22.7,22.9,23.2,23.7,24.2,24.8,25.6,26.5,28.0,15.6
LT_Debt,0.0,0.0,0.0,0.0,0.0,22.9,15.5,19.4,8.8,14.3,15.2
Net_Income,14.0,15.2,13.7,12.5,12.0,10.2,9.1,8.4,8.6,4.4,4.8
Revenue,39.8,39.8,38.6,37.6,35.0,33.2,31.8,30.0,30.7,21.5,21.1
Shares_Diluted,2.185,2.2182,2.2417,2.2712,2.287,2.2826,2.2834,2.2898,2.2806,1.7283,1.6811
Total_Assets,1125.8,1112.4,1028.5,876.8,847.6,843.0,819.6,797.4,779.4,817.9,631.0
Total_Liabilities,1016.7,972.3,892.6,753.2,732.6,734.2,717.8,698.6,685.8,732.8,563.8
