AAII_YR_DATA,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013
Capital_Expenditures,0.1,0.2,0.0,0.1,0.2,0.4,0.0
Cash_from_Operations,-1.2,1.1,3.5,-0.3,0.3,0.0,1.2
Diluted_EPS,-0.395,0.353,0.638,-0.419,0.286,0.225,0.053
Goodwill_Intangibles,,,0.0,0.2,0.9,0.8,0.9
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-1.0,0.9,1.2,-0.8,0.5,0.4,0.1
Revenue,24.9,30.2,31.8,28.5,29.0,30.7,29.1
Shares_Diluted,2.5345,2.5345,1.8452,1.8452,1.763,1.763,1.763
Total_Assets,13.2,15.1,15.7,14.3,14.4,15.5,14.2
Total_Liabilities,3.4,3.5,4.9,4.1,3.6,5.1,4.3
