AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2017,12/31/2016,12/31/2015,12/31/2012,12/31/2011,12/31/2010
Capital_Expenditures,,,0.2,0.6,1.3,,,
Cash_from_Operations,-0.6,-0.6,-1.9,-1.7,-0.4,-0.6,-0.3,
Diluted_EPS,-0.147,-0.26,-1.15,-0.961,-25.427,-14.622,,
Goodwill_Intangibles,0.5,0.5,0.9,1.0,0.8,,,
LT_Debt,1.4,1.5,0.5,0.0,0.5,0.0,0.0,0.0
Net_Income,-1.4,-2.4,-4.8,-3.2,-0.5,-0.2,,
Revenue,4.3,2.5,0.3,0.6,1.4,1.3,,
Shares_Diluted,9.32,9.1774,4.2113,3.3281,1.1637,0.0269,0.0207,0.0163
Total_Assets,2.7,2.7,2.4,3.2,2.9,0.4,3.5,2.7
Total_Liabilities,8.3,8.5,1.6,2.3,1.3,0.1,,
