AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017
Capital_Expenditures,756.7,456.0,455.2,184.0,187.4,41.8
Cash_from_Operations,141.3,-58.7,308.1,101.4,144.4,96.3
Diluted_EPS,-5.768,-4.604,5.201,-0.343,0.288,-4.524
Goodwill_Intangibles,728.1,764.3,288.5,445.4,463.5,
LT_Debt,1669.2,1650.6,28.1,48.6,101.3,0.0
Net_Income,-197.6,-156.9,181.7,-8.2,6.9,-108.5
Revenue,1724.6,814.2,1436.0,1048.9,989.0,711.0
Shares_Diluted,34.255,34.077,34.942,23.992,23.9915,23.9915
Total_Assets,5522.2,5289.9,3733.5,3315.8,3287.8,
Total_Liabilities,3558.9,3121.4,877.6,743.7,809.7,
