AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,04/01/2014
Capital_Expenditures,0.1,0.0,0.2,0.4,2.7,0.8,0.8,0.7,
Cash_from_Operations,-11.7,9.2,-6.6,-42.8,-10.6,-19.2,-5.6,-4.9,
Diluted_EPS,-0.093,-0.246,-0.217,-0.318,-1.405,-2.871,-0.701,-0.325,
Goodwill_Intangibles,9.1,10.7,20.6,27.0,26.9,19.4,17.0,17.4,18.4
LT_Debt,2.8,5.2,5.9,0.3,4.3,0.4,4.9,1.5,2.8
Net_Income,-5.8,-14.2,-10.1,-13.9,-48.2,-71.2,-14.7,-12.0,
Revenue,24.0,15.3,87.6,113.0,147.8,112.9,100.7,83.9,
Shares_Diluted,62.3525,57.7717,46.4772,43.544,34.3012,24.8071,20.9765,37.0406,
Total_Assets,66.0,69.4,105.7,151.5,140.2,115.6,64.6,60.1,69.6
Total_Liabilities,55.2,55.4,87.7,123.0,142.9,77.7,59.4,50.8,48.8
