AAII_YR_DATA,12/25/2022,12/26/2021,12/27/2020,12/29/2019,12/30/2018,12/31/2017
Capital_Expenditures,21.4,10.4,0.5,0.0,7.7,
Cash_from_Operations,-47.4,0.7,-11.5,1.6,1.8,1.5
Diluted_EPS,-7.659,-2.155,-1.249,-0.086,-0.164,-0.071
Goodwill_Intangibles,918.6,1235.0,58.6,40.6,33.7,18.4
LT_Debt,958.6,904.3,73.9,20.5,14.2,18.1
Net_Income,-126.2,-31.6,-14.9,-1.0,-1.8,-0.6
Revenue,407.2,118.9,18.1,22.5,17.8,2.2
Shares_Diluted,16.4761,14.6569,11.898,11.8235,10.9708,8.6862
Total_Assets,1213.3,1270.0,121.1,82.5,58.0,29.2
Total_Liabilities,1372.5,1227.2,163.0,77.2,52.2,27.2
