AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,0.1,1.7,2.0,5.8,3.3,1.4,1.9
Cash_from_Operations,3.3,27.9,18.2,15.4,8.3,24.8,26.9
Diluted_EPS,-1.196,-0.455,0.65,0.569,0.272,0.136,0.35
Goodwill_Intangibles,63.4,67.8,70.4,73.1,78.9,86.5,130.2
LT_Debt,0.0,62.3,75.3,76.1,0.0,135.7,139.1
Net_Income,-14.7,-5.5,11.9,9.0,3.2,1.6,4.1
Revenue,117.3,187.3,382.3,315.0,286.3,298.0,371.2
Shares_Diluted,12.318,12.181,18.289,15.757,11.8806,12.0031,11.8316
Total_Assets,97.0,120.0,157.3,152.9,163.2,167.5,190.9
Total_Liabilities,63.6,76.7,104.2,102.2,157.1,153.2,160.2
