AAII_YR_DATA,12/31/2022,12/31/2021,06/30/2021,06/30/2020,06/30/2019
Capital_Expenditures,34.2,17.6,23.2,19.9,16.5
Cash_from_Operations,39.4,0.9,53.6,39.5,14.7
Diluted_EPS,-1.529,-0.615,-0.761,-0.572,-0.586
Goodwill_Intangibles,2068.4,2469.5,1007.8,770.9,
LT_Debt,801.5,806.8,2056.2,1656.9,0.0
Net_Income,-276.9,-127.9,-158.3,-119.1,-122.0
Revenue,717.8,322.1,611.6,478.2,440.1
Shares_Diluted,181.149,208.0838,208.0838,208.0838,208.0838
Total_Assets,2738.7,3118.0,1547.2,1243.8,
Total_Liabilities,1340.5,1424.8,2388.8,1962.5,
