AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,0.4,0.3,0.5,0.1
Cash_from_Operations,50.6,34.4,26.1,38.0
Diluted_EPS,0.005,0.029,-0.075,0.044
Goodwill_Intangibles,387.6,402.0,440.9,
LT_Debt,338.5,133.3,137.7,0.0
Net_Income,0.9,5.1,-13.1,7.7
Revenue,195.0,145.8,104.5,108.7
Shares_Diluted,159.1669,173.5244,173.5244,173.5244
Total_Assets,438.8,449.7,503.7,
Total_Liabilities,434.8,186.5,247.4,
