AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,,,,0.1,0.0,0.0,,0.0,0.0,0.0,0.2
Cash_from_Operations,-4.0,0.0,-0.2,0.2,-0.1,0.4,-0.2,0.1,0.4,0.3,0.1
Diluted_EPS,0.033,0.125,0.147,0.313,0.0,1.433,-1.264,-0.57,1.107,2.193,367.156
Goodwill_Intangibles,,,,,1.2,1.2,1.2,1.2,1.2,1.2,1.1
LT_Debt,0.0,0.2,0.2,0.0,0.2,0.2,0.6,1.0,1.1,1.5,1.7
Net_Income,0.1,0.3,0.2,0.2,0.6,0.6,-0.3,-0.1,0.2,0.3,0.8
Revenue,12.2,11.1,9.3,10.8,18.3,18.4,11.3,11.5,12.1,10.8,9.1
Shares_Diluted,2.8542,2.0146,1.393,0.601,2041.395,0.4253,0.2735,0.222,0.1818,0.1214,0.0037
Total_Assets,3.8,3.7,3.7,5.0,7.2,6.4,5.9,5.9,6.2,6.3,5.9
Total_Liabilities,3.0,2.2,3.2,2.5,3.1,3.1,3.4,3.2,3.0,4.2,4.1
