AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,58.6,39.3,7.8,25.8,17.9,11.3
Cash_from_Operations,52.4,14.5,36.5,33.4,36.7,30.8
Diluted_EPS,0.905,-0.365,-0.356,-0.272,0.911,0.266
Goodwill_Intangibles,115.3,122.3,133.0,143.7,152.3,59.0
LT_Debt,73.0,68.5,47.3,75.3,173.0,67.6
Net_Income,18.7,-7.5,-7.1,-4.8,17.9,5.2
Revenue,539.4,454.8,357.6,519.7,354.5,313.3
Shares_Diluted,20.6826,20.4045,19.8981,17.4475,19.6935,19.6935
Total_Assets,440.6,379.5,338.5,363.6,391.7,214.3
Total_Liabilities,222.7,181.2,137.7,162.7,288.7,121.4
