AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,46.9,1.5,2.9,1.9,2.0,2.7
Cash_from_Operations,140.3,129.0,76.9,55.1,61.7,45.6
Diluted_EPS,1.398,0.355,-0.116,-0.006,0.566,1.367
Goodwill_Intangibles,1271.8,1216.7,1063.4,1049.0,1013.5,1022.1
LT_Debt,112.1,115.0,75.0,121.7,242.8,0.0
Net_Income,103.3,25.7,-7.8,-0.4,37.4,99.0
Revenue,618.3,530.3,432.1,417.9,363.6,295.5
Shares_Diluted,73.8728,72.3992,67.362,66.2986,66.15,72.4
Total_Assets,1502.9,1383.4,1223.6,1189.0,1147.3,1097.7
Total_Liabilities,376.6,374.0,318.5,330.1,448.3,211.8
