AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,8.2,5.4,1.4,0.8,1.3,1.3
Cash_from_Operations,22.0,-45.1,-44.8,-13.3,4.4,-13.4
Diluted_EPS,-6.346,0.312,-0.295,-1.264,-1.037,-1.957
Goodwill_Intangibles,300.4,519.7,52.4,57.4,68.4,77.8
LT_Debt,118.7,119.5,0.3,73.1,80.4,0.0
Net_Income,-285.4,13.4,-9.9,-40.1,-32.9,-62.1
Revenue,344.5,479.4,342.2,235.1,211.8,151.5
Shares_Diluted,44.9749,42.9892,33.5,31.7207,31.7207,31.7207
Total_Assets,573.6,891.2,275.8,185.7,174.4,189.5
Total_Liabilities,223.7,256.1,64.9,154.5,126.9,160.3
